id,version,method,target_x,target_y,sourceCenter_x,sourceCenter_y,sourceRadius,source_x,source_y,visited
achiran-045,0.0.3,A*,1259,797,1530,1098,200,1446,929,11126
achiran-045,0.0.3,BFS,1259,797,1530,1098,200,1442,929,165946
achiran-046,0.0.3,A*,1191,1147,1591,1151,377,1353,1218,1335
achiran-046,0.0.3,BFS,1191,1147,1591,1151,377,1352,1218,75786
achiran-047,0.0.3,A*,721,204,307,445,366,601,228,13875
achiran-047,0.0.3,BFS,721,204,307,445,366,594,233,62233
achiran-048,0.0.3,BFS,1845,1124,1889,1075,26,1870,1092,2776
achiran-049,0.0.3,BFS,1635,1622,1527,1530,100,1585,1609,4742
achiran-050,0.0.3,A*,1183,104,1088,546,326,1053,222,2433
achiran-050,0.0.3,BFS,1183,104,1088,546,326,1053,222,52822
achiran-051,0.0.3,A*,1840,1140,1705,1288,52,1741,1322,56510
achiran-051,0.0.3,BFS,1840,1140,1705,1288,52,1743,1323,114742
achiran-052,0.0.3,A*,1286,657,1378,931,153,1269,824,3143
achiran-052,0.0.3,BFS,1286,657,1378,931,153,1268,826,38933
achiran-053,0.0.3,A*,540,789,47,815,322,363,766,2122
achiran-053,0.0.3,BFS,540,789,47,815,322,365,766,51223
achiran-054,0.0.3,BFS,1835,183,1825,1244,442,1928,815,183124
achiran-055,0.0.3,A*,1376,1469,1779,1246,431,1408,1463,201
achiran-055,0.0.3,BFS,1376,1469,1779,1246,431,1408,1464,1167
achiran-056,0.0.3,A*,1367,1208,1463,958,176,1519,1110,1371
achiran-056,0.0.3,BFS,1367,1208,1463,958,176,1519,1110,82001
achiran-057,0.0.3,A*,482,390,212,837,395,291,450,14241
achiran-057,0.0.3,BFS,482,390,212,837,395,291,450,56794
achiran-058,0.0.3,A*,875,516,988,574,116,932,517,185
achiran-058,0.0.3,BFS,875,516,988,574,116,932,517,3317
achiran-059,0.0.3,A*,1864,544,1873,942,334,1953,618,10964
achiran-059,0.0.3,BFS,1864,544,1873,942,334,1953,618,35247
achiran-060,0.0.3,BFS,530,563,911,487,161,773,569,97052
achiran-061,0.0.3,A*,432,413,576,840,362,423,512,90367
achiran-061,0.0.3,BFS,432,413,576,840,362,423,512,217485
achiran-062,0.0.3,A*,610,1032,1041,1251,299,781,1104,1627
achiran-062,0.0.3,BFS,610,1032,1041,1251,299,781,1104,61220
achiran-063,0.0.3,BFS,1086,194,1581,161,177,1405,173,149063
achiran-064,0.0.3,A*,1659,37,1749,1462,336,1840,1139,770822
achiran-064,0.0.3,BFS,1659,37,1749,1462,336,1840,1139,485814
achiran-065,0.0.3,BFS,354,452,583,859,434,376,478,1383
achiran-066,0.0.3,A*,1561,1028,1325,934,176,1494,983,974
achiran-066,0.0.3,BFS,1561,1028,1325,934,176,1494,983,6503
achiran-067,0.0.3,A*,731,1070,794,1128,47,763,1094,442
